window_start_idx,window_end_idx,start_time,end_time,predicted_class,class_name,confidence
2320,2832,1970-01-01 00:28:24.997800,1970-01-01 00:28:25.323900,-1,Unclassified,0.3818127512931824
2330,2842,1970-01-01 00:28:25.000800,1970-01-01 00:28:25.326900,-1,Unclassified,0.4411224126815796
2340,2852,1970-01-01 00:28:25.003800,1970-01-01 00:28:25.329900,-1,Unclassified,0.44172218441963196
2350,2862,1970-01-01 00:28:25.006800,1970-01-01 00:28:25.332900,-1,Unclassified,0.2733175754547119
2360,2872,1970-01-01 00:28:25.009800,1970-01-01 00:28:25.335900,-1,Unclassified,0.38725703954696655
2370,2882,1970-01-01 00:28:25.012800,1970-01-01 00:28:25.338900,-1,Unclassified,0.30640262365341187
2380,2892,1970-01-01 00:28:25.015800,1970-01-01 00:28:25.341900,-1,Unclassified,0.36201637983322144
2390,2902,1970-01-01 00:28:25.018800,1970-01-01 00:28:25.344900,-1,Unclassified,0.31338998675346375
2400,2912,1970-01-01 00:28:25.021800,1970-01-01 00:28:25.347900,-1,Unclassified,0.27993065118789673
2410,2922,1970-01-01 00:28:25.024800,1970-01-01 00:28:25.350900,-1,Unclassified,0.35288748145103455
2420,2932,1970-01-01 00:28:25.027800,1970-01-01 00:28:25.353900,-1,Unclassified,0.3307115435600281
2430,2942,1970-01-01 00:28:25.030800,1970-01-01 00:28:25.356900,-1,Unclassified,0.26895996928215027
2440,2952,1970-01-01 00:28:25.033800,1970-01-01 00:28:25.359900,-1,Unclassified,0.37362033128738403
2450,2962,1970-01-01 00:28:25.036800,1970-01-01 00:28:25.362900,-1,Unclassified,0.3017518222332001
2460,2972,1970-01-01 00:28:25.039800,1970-01-01 00:28:25.365900,-1,Unclassified,0.34293076395988464
2470,2982,1970-01-01 00:28:25.042800,1970-01-01 00:28:25.368900,-1,Unclassified,0.33800581097602844
