timestamp,open,high,low,close
1705626000000,1.08797,1.0888,1.0875,1.08856
1705629600000,1.08855,1.0891,1.0881,1.0888
1705633200000,1.08879,1.089,1.0884,1.08889
1705636800000,1.08887,1.089,1.0884,1.08862
1705640400000,1.08863,1.0888,1.0878,1.08806
1705644000000,1.08807,1.08823,1.0874,1.0881
1705647600000,1.08811,1.08863,1.0874,1.08793
1705651200000,1.08791,1.0882,1.0866,1.08769
1705654800000,1.08766,1.0885,1.087,1.08825
1705658400000,1.08822,1.0886,1.0872,1.0881
1705662000000,1.08812,1.0893,1.0878,1.08874
1705665600000,1.08872,1.0889,1.0878,1.08826
1705669200000,1.08826,1.089,1.0874,1.08802
1705672800000,1.08805,1.08837,1.0864,1.088
1705676400000,1.08806,1.08902,1.08692,1.08824
1705680000000,1.08821,1.0888,1.088,1.08866
1705683600000,1.08866,1.08935,1.0879,1.08894
1705687200000,1.08895,1.0897,1.0885,1.08921
1705690800000,1.08922,1.0895,1.0886,1.08924
1705694400000,1.08922,1.0896,1.0889,1.08951
1705698000000,1.08949,1.0899,1.08882,1.08944
1705874400000,1.08903,1.08955,1.08866,1.08921
1705878000000,1.08922,1.08974,1.08901,1.08915
1705881600000,1.08912,1.0902,1.089,1.0899
1705885200000,1.0901,1.0905,1.0897,1.09016
1705888800000,1.09016,1.091,1.0898,1.09071
1705892400000,1.0907,1.0908,1.09,1.09018
1705896000000,1.09019,1.0906,1.0899,1.09026
1705899600000,1.09029,1.0905,1.0897,1.09016
1705903200000,1.09015,1.091,1.09,1.09048
1705906800000,1.09045,1.0908,1.0896,1.08975
1705910400000,1.08975,1.0901,1.0886,1.08918
1705914000000,1.08915,1.09025,1.0889,1.08968
1705917600000,1.08967,1.08968,1.0884,1.08866
1705921200000,1.08867,1.0891,1.0881,1.08899
1705924800000,1.089,1.09,1.0886,1.08923
1705928400000,1.08923,1.0896,1.0878,1.08917
1705932000000,1.08909,1.0897,1.0884,1.0889
1705935600000,1.08888,1.0899,1.08818,1.08853
1705939200000,1.0885,1.0895,1.0881,1.0894
1705942800000,1.08936,1.09,1.089,1.08963
1705946400000,1.08962,1.08963,1.0882,1.08899
1705950000000,1.08898,1.0891,1.0879,1.08845
1705953600000,1.08849,1.0886,1.0879,1.08842
1705957200000,1.0884,1.0885,1.088,1.08821
1705960800000,1.08821,1.0887,1.08765,1.0881
1705964400000,1.08812,1.0883,1.0875,1.0877
1705968000000,1.08774,1.0885,1.0875,1.08827
1705971600000,1.08831,1.089,1.0875,1.08883
1705975200000,1.08884,1.0895,1.0884,1.0887
1705978800000,1.08871,1.0895,1.0884,1.08927
1705982400000,1.08926,1.09,1.089,1.08981
1705986000000,1.08987,1.0908,1.0895,1.09067
1705989600000,1.09069,1.0915,1.09,1.09141
1705993200000,1.09138,1.0916,1.0903,1.09083
1705996800000,1.09082,1.09107,1.0891,1.0895
1706000400000,1.0895,1.0896,1.0883,1.08875
1706004000000,1.08866,1.08884,1.0866,1.08695
1706007600000,1.08696,1.08722,1.0859,1.08664
1706011200000,1.08664,1.08734,1.0859,1.08638
1706014800000,1.08637,1.08759,1.0863,1.08734
1706018400000,1.08733,1.08739,1.0848,1.08528
1706022000000,1.08529,1.08583,1.08208,1.08309
1706025600000,1.08313,1.08396,1.0824,1.08281
